date,country,admin1,admin2,admin3,grain_yield,nitrogen_stress,crop_production,water_stress,relative_yield
2000-11-12,Djibouti,Tadjourah,Tadjourah,,1.7097939999999998,0.0,3.292928117903102e-06,0.6640330862330743,1.9491355999663864
2001-11-14,Djibouti,Tadjourah,Tadjourah,,0.881517,0.002175,1.697732075156182e-06,0.7633935117246167,1.0049141397592747
2002-11-15,Djibouti,Tadjourah,Tadjourah,,0.28126999999999996,0.0,5.417037910547151e-07,0.7787804092962574,0.3206429372208263
2003-11-15,Djibouti,Tadjourah,Tadjourah,,0.5796720000000001,0.0,1.116402460156678e-06,0.7237778426726029,0.6608160582524651
2004-11-17,Djibouti,Tadjourah,Tadjourah,,1.034697,0.00126,1.992744649244287e-06,0.7256779755127849,1.1795366914835472
2005-10-27,Djibouti,Tadjourah,Tadjourah,,0.727921,0.0,1.4019183179448192e-06,0.6816857886733161,0.8298173552270812
2006-10-30,Djibouti,Tadjourah,Tadjourah,,0.681725,0.000332,1.3129484728438e-06,0.6898549285019159,0.7771547138936532
2007-10-29,Djibouti,Tadjourah,Tadjourah,,0.7836890000000001,0.001616,1.5093230785646484e-06,0.7561771750202371,0.8933919110735314
2008-10-30,Djibouti,Tadjourah,Tadjourah,,0.258637,0.0,4.981144217549626e-07,0.7865252098918629,0.2948417085148891
2009-11-01,Djibouti,Tadjourah,Tadjourah,,0.664695,0.005706,1.2801500387354282e-06,0.7289810042534239,0.7577408083193984
2010-10-30,Djibouti,Tadjourah,Tadjourah,,1.2942850000000001,0.0,2.4926906218411207e-06,0.5814596101116085,1.4754625235569283
2011-10-19,Djibouti,Tadjourah,Tadjourah,,1.531126,0.0,2.9488276701476936e-06,0.624592368107316,1.7454571688952782
2012-10-19,Djibouti,Tadjourah,Tadjourah,,0.359286,0.0,6.919564414010892e-07,0.7595232003098054,0.4095798284293448
2013-10-18,Djibouti,Tadjourah,Tadjourah,,1.067955,0.0029850000000000002,2.056796928843596e-06,0.602742827233721,1.2174502364975561
2014-10-19,Djibouti,Tadjourah,Tadjourah,,1.1343239999999999,0.0017289999999999999,2.184618377659717e-06,0.6548817700211974,1.2931097490670054
2015-10-22,Djibouti,Tadjourah,Tadjourah,,0.41324799999999995,0.0047420000000000006,7.95882988750236e-07,0.7156116737141477,0.4710955754991006
2016-10-18,Djibouti,Tadjourah,Tadjourah,,1.003382,0.0,1.932434434088464e-06,0.7104048620705807,1.1438381328776874
2017-10-17,Djibouti,Tadjourah,Tadjourah,,0.281431,0.003558,5.420138643307837e-07,0.7383840573560339,0.32082647443735335
2018-10-16,Djibouti,Tadjourah,Tadjourah,,0.46885200000000005,0.0,9.029718983310887e-07,0.7577514172135427,0.5344831741808899
2019-10-21,Djibouti,Tadjourah,Tadjourah,,0.48646300000000003,0.0,9.368892925226646e-07,0.8296753356932105,0.5545594097104378
2020-10-18,Djibouti,Tadjourah,Tadjourah,,1.258583,0.0,2.4239313913926708e-06,0.7640045250000655,1.4347628607963852
2000-11-15,Djibouti,Tadjourah,Randa,,1.0073809999999999,0.000528,3.620058593967101e-08,0.7485885047989906,1.5311409297365213
2001-11-11,Djibouti,Tadjourah,Randa,,0.748011,0.001242,2.6880034951343388e-08,0.7936184107811979,1.1369186613536935
2002-11-14,Djibouti,Tadjourah,Randa,,0.154803,0.0,5.562899543686939e-09,0.8108708408958657,0.23528854459832252
2003-11-11,Djibouti,Tadjourah,Randa,,0.45961499999999994,0.0,1.6516424576860086e-08,0.7566958457374183,0.6985791258926377
2004-11-11,Djibouti,Tadjourah,Randa,,0.6612180000000001,0.0023469999999999997,2.3761098366811954e-08,0.7826513701558232,1.0050000379980597
2005-10-28,Djibouti,Tadjourah,Randa,,0.49877299999999997,0.0,1.7923580900262692e-08,0.7563646973960266,0.7580962465516761
2006-10-29,Djibouti,Tadjourah,Randa,,0.441572,0.0038420000000000004,1.5868043108369535e-08,0.742394070728633,0.6711551663428388
2007-10-28,Djibouti,Tadjourah,Randa,,0.677026,0.000449,2.4329164334439215e-08,0.7838461581454352,1.0290269710226798
2008-10-29,Djibouti,Tadjourah,Randa,,0.09663,0.0021899999999999997,3.472432594371355e-09,0.8542234875857379,0.1468700998335685
2009-10-31,Djibouti,Tadjourah,Randa,,0.431036,0.08809199999999999,1.548942829087707e-08,0.7692073810749446,0.6551412641194456
2010-10-25,Djibouti,Tadjourah,Randa,,1.027037,0.0,3.6906931123102285e-08,0.6029480543916812,1.561016524089503
2011-10-21,Djibouti,Tadjourah,Randa,,1.2263469999999999,0.0,4.4069205162056585e-08,0.655140087769865,1.8639522541715534
2012-10-23,Djibouti,Tadjourah,Randa,,0.317083,0.001391,1.1394487677957699e-08,0.8051520368729934,0.481941548851572
2013-10-21,Djibouti,Tadjourah,Randa,,1.289826,0.0,4.635034506330981e-08,0.6175646747139707,1.9604354070985441
2014-10-22,Djibouti,Tadjourah,Randa,,1.225623,0.001315,4.404318797072548e-08,0.6792142405281392,1.8628518303665291
2015-11-08,Djibouti,Tadjourah,Randa,,0.096897,0.0,3.4820273320583795e-09,0.7864910884195546,0.14727591910973079
2016-11-03,Djibouti,Tadjourah,Randa,,0.53891,0.0,1.9365917928517718e-08,0.7819998970433278,0.8191013712233095
2017-11-05,Djibouti,Tadjourah,Randa,,0.171624,0.0,6.167368017969465e-09,0.7397345077962617,0.26085515899654727
2018-11-03,Djibouti,Tadjourah,Randa,,0.426821,0.000571,1.5337960802671802e-08,0.7925320975644404,0.6487347912766588
2019-11-01,Djibouti,Tadjourah,Randa,,0.5976100000000001,0.001029,2.1475322805777356e-08,0.8175032843510651,0.9083208150837099
2020-10-27,Djibouti,Tadjourah,Randa,,0.789792,0.0,2.8381449690300544e-08,0.7948669156904986,1.2004225384223712
2000-11-15,Djibouti,Obock,Obock,,1.1366399999999999,0.000471,9.66353264520876e-07,0.7285857293999145,1.4335864820974358
2001-11-11,Djibouti,Obock,Obock,,0.826073,0.001883,7.023141366506138e-07,0.784995673645785,1.0418840495017554
2002-11-14,Djibouti,Obock,Obock,,0.213351,0.0,1.8138762962661304e-07,0.7872812251920408,0.2690888139973695
2003-11-11,Djibouti,Obock,Obock,,0.527224,0.0,4.482374661579343e-07,0.7371721237792462,0.6649609370049784
2004-11-11,Djibouti,Obock,Obock,,0.844464,0.002089,7.179498725809026e-07,0.7564896922879398,1.0650796866359877
2005-10-28,Djibouti,Obock,Obock,,0.626498,0.0,5.326386432958543e-07,0.7390092657865299,0.7901702068034554
2006-10-29,Djibouti,Obock,Obock,,0.555596,0.0,4.72358889670204e-07,0.7326112130850382,0.7007451040852046
2007-10-28,Djibouti,Obock,Obock,,0.744274,0.00022999999999999998,6.327699268000515e-07,0.7689423124199378,0.9387151124160571
2008-10-29,Djibouti,Obock,Obock,,0.155212,0.000333,1.319587757714089e-07,0.8384836540622266,0.19576103696799974
2009-10-31,Djibouti,Obock,Obock,,0.629174,0.004393,5.349137359688711e-07,0.7445013701537644,0.793545310113292
2010-10-25,Djibouti,Obock,Obock,,1.178567,0.0,1.0019989336171306e-06,0.5893338709155133,1.4864668843663154
2011-10-21,Djibouti,Obock,Obock,,1.434884,0.0,1.2199155736282136e-06,0.6256364078707211,1.8097465387263316
2012-10-23,Djibouti,Obock,Obock,,0.367973,0.000674,3.128447967743e-07,0.792116775575168,0.46410571383801363
2013-10-21,Djibouti,Obock,Obock,,1.490486,0.0,1.2671875104014135e-06,0.5983179093408391,1.879874526108072
2014-10-22,Djibouti,Obock,Obock,,1.372398,0.00207,1.1667909694555192e-06,0.6554188088915939,1.7309361106925298
2015-11-08,Djibouti,Obock,Obock,,0.18908599999999998,0.002634,1.6075791224591282e-07,0.7910246573242529,0.23848459807315928
2016-11-03,Djibouti,Obock,Obock,,0.620585,0.0,5.276115046652308e-07,0.7685401763151403,0.7827124392881101
2017-11-05,Djibouti,Obock,Obock,,0.329768,0.002238,2.8036351292803374e-07,0.754958443475171,0.4159196817183165
2018-11-03,Djibouti,Obock,Obock,,0.533014,0.0,4.5316003214327337e-07,0.7703253229578031,0.6722635708480106
2019-11-01,Djibouti,Obock,Obock,,0.716108,0.000965,6.088236412140304e-07,0.7867741568614084,0.903190762705721
2020-10-27,Djibouti,Obock,Obock,,0.872604,0.0,7.418740533801156e-07,0.7847160363753154,1.1005712438627455
